1130819.00,1147.00,Sold, NetProfit, 304.00
1130819.00,1230.00,Buy at , 146.79
1130819.00,1231.00,Bought at , 146.79
1130819.00,1251.00,Sold, NetProfit, 277.00
1130819.00,1300.00,Buy at , 146.42
1130819.00,1301.00,Bought at , 146.40
1130819.00,1304.00,Sold, NetProfit, 250.00
1130819.00,1327.00,Buy at , 145.85
1130819.00,1328.00,Bought at , 145.85
1130819.00,1347.00,Sold, NetProfit, 223.00
1130819.00,1438.00,Buy at , 145.93
1130819.00,1439.00,Bought at , 145.93
1130819.00,1441.00,Sold, NetProfit, 196.00
1130820.00, 943.00,Buy at , 148.32
1130820.00, 943.00,Bought at , 148.32
1130820.00, 952.00,Sold, NetProfit, 169.00
1130820.00,1019.00,Buy at , 147.03
1130820.00,1019.00,Bought at , 147.01
1130820.00,1021.00,Sold, NetProfit, 246.00
1130820.00,1046.00,Buy at , 148.07
1130820.00,1047.00,Bought at , 148.02
1130820.00,1058.00,Sold, NetProfit, 219.00
1130820.00,1102.00,Buy at , 147.55
1130820.00,1103.00,Bought at , 147.52
1130820.00,1117.00,Sold, NetProfit, 192.00
1130820.00,1241.00,Buy at , 147.88
1130820.00,1242.00,Bought at , 147.88
1130820.00,1342.00,Sold, NetProfit, 265.00
1130821.00, 940.00,Buy at , 148.67
1130821.00, 952.00,Buy at , 147.44
1130821.00, 952.00,Bought at , 147.44
1130821.00, 955.00,Sold, NetProfit, 256.00
1130821.00, 956.00,Buy at , 146.56
1130821.00,1006.00,Buy at , 147.11
1130821.00,1006.00,Bought at , 147.11
1130821.00,1006.00,Sold, NetProfit, 247.00
1130821.00,1006.00,Buy at , 146.95
1130821.00,1007.00,Bought at , 146.84
1130821.00,1015.00,Sold, NetProfit, 220.00
1130821.00,1026.00,Buy at , 147.20
1130821.00,1027.00,Bought at , 147.20
1130821.00,1034.00,Sold, NetProfit, 293.00
1130821.00,1057.00,Buy at , 147.85
1130821.00,1117.00,Buy at , 147.95
1130821.00,1117.00,Bought at , 147.95
1130821.00,1132.00,Sold, NetProfit, 284.00
1130821.00,1215.00,Buy at , 147.20
1130821.00,1215.00,Bought at , 147.20
1130821.00,1407.00,Sold, NetProfit, 257.00
1130821.00,1446.00,Buy at , 149.60
1130821.00,1446.00,Bought at , 149.60
1130821.00,1451.00,Sold, NetProfit, 230.00
1130821.00,1500.00,Buy at , 149.43
1130821.00,1500.00,Bought at , 149.43
1130821.00,1502.00,Sold, NetProfit, 203.00
1130821.00,1503.00,Buy at , 149.36
1130821.00,1504.00,Bought at , 149.35
1130821.00,1507.00,Sold, NetProfit, 176.00
1130822.00, 947.00,Buy at , 150.25
1130822.00, 947.00,Bought at , 150.25
1130822.00, 948.00,Sold, NetProfit, 149.00
1130822.00,1010.00,Buy at , 148.40
1130822.00,1010.00,Bought at , 148.36
1130822.00,1016.00,Sold, NetProfit, 222.00
1130822.00,1024.00,Buy at , 149.25
1130822.00,1024.00,Bought at , 149.25
1130822.00,1034.00,Sold, NetProfit, 195.00
1130822.00,1119.00,Buy at , 151.69
1130822.00,1119.00,Bought at , 151.65
1130822.00,1120.00,Sold, NetProfit, 168.00
1130822.00,1137.00,Buy at , 153.28
1130822.00,1156.00,Buy at , 153.11
1130823.00, 933.00,Buy at , 156.48
1130823.00, 933.00,Bought at , 156.48
1130823.00, 933.00,Sold, NetProfit, 159.00
1130823.00, 939.00,Buy at , 158.72
1130823.00, 945.00,Buy at , 158.90
1130823.00, 951.00,Buy at , 159.65
1130823.00, 951.00,Bought at , 159.61
1130823.00, 951.00,Sold, NetProfit, 168.00
1130823.00, 952.00,Buy at , 159.52
1130823.00, 959.00,Buy at , 159.59
1130823.00, 959.00,Bought at , 159.45
1130823.00,1000.00,Sold, NetProfit, 141.00
1130823.00,1043.00,Buy at , 158.44
1130823.00,1043.00,Bought at , 158.40
1130823.00,1045.00,Sold, NetProfit, 214.00
1130823.00,1048.00,Buy at , 159.10
1130823.00,1048.00,Bought at , 159.00
1130823.00,1052.00,Sold, NetProfit, 287.00
1130823.00,1124.00,Buy at , 160.14
1130823.00,1126.00,Buy at , 160.36
1130823.00,1126.00,Bought at , 160.36
1130823.00,1127.00,Sold, NetProfit, 360.00
1130823.00,1134.00,Buy at , 161.27
1130823.00,1135.00,Bought at , 161.27
1130823.00,1139.00,Sold, NetProfit, 333.00
1130823.00,1151.00,Buy at , 160.66
1130823.00,1151.00,Bought at , 160.63
1130823.00,1200.00,Sold, NetProfit, 406.00
1130823.00,1216.00,Buy at , 162.00
1130823.00,1216.00,Bought at , 162.00
1130823.00,1221.00,Sold, NetProfit, 379.00
1130823.00,1232.00,Buy at , 160.69
1130823.00,1232.00,Bought at , 160.69
1130823.00,1240.00,Sold, NetProfit, 452.00
1130823.00,1355.00,Buy at , 160.94
1130823.00,1355.00,Bought at , 160.91
1130823.00,1356.00,Sold, NetProfit, 425.00
1130823.00,1412.00,Buy at , 160.60
1130826.00, 931.00,Buy at , 165.45
1130826.00, 934.00,Buy at , 164.35
1130826.00, 934.00,Bought at , 164.35
1130826.00, 934.00,Sold, NetProfit, 416.00
1130826.00, 938.00,Buy at , 166.92
1130826.00, 939.00,Bought at , 166.92
1130826.00, 939.00,Sold, NetProfit, 389.00
1130826.00, 939.00,Buy at , 166.99
1130826.00, 953.00,Buy at , 166.85
1130826.00, 953.00,Bought at , 166.82
1130826.00, 953.00,Sold, NetProfit, 340.00
1130826.00, 954.00,Buy at , 166.76
1130826.00, 954.00,Bought at , 166.65
1130826.00, 954.00,Sold, NetProfit, 413.00
1130826.00,1054.00,Buy at , 168.93
1130826.00,1054.00,Bought at , 168.92
1130826.00,1058.00,Sold, NetProfit, 486.00
1130826.00,1103.00,Buy at , 169.88
1130826.00,1103.00,Bought at , 169.84
1130826.00,1107.00,Sold, NetProfit, 559.00
1130826.00,1115.00,Buy at , 171.89
1130826.00,1115.00,Buy at , 171.79
1130826.00,1115.00,Bought at , 171.75
1130826.00,1118.00,Sold, NetProfit, 510.00
1130826.00,1120.00,Buy at , 170.48
1130826.00,1120.00,Bought at , 170.47
1130826.00,1126.00,Sold, NetProfit, 583.00
1130826.00,1145.00,Buy at , 171.78
1130826.00,1146.00,Bought at , 171.78
1130826.00,1148.00,Sold, NetProfit, 556.00
1130826.00,1149.00,Buy at , 171.68
1130826.00,1149.00,Bought at , 171.68
1130826.00,1150.00,Sold, NetProfit, 529.00
1130826.00,1217.00,Buy at , 171.51
1130826.00,1217.00,Bought at , 171.51
1130826.00,1223.00,Sold, NetProfit, 502.00
1130826.00,1225.00,Buy at , 171.10
1130826.00,1225.00,Bought at , 171.10
1130826.00,1243.00,Sold, NetProfit, 575.00
1130826.00,1306.00,Buy at , 172.54
1130826.00,1306.00,Bought at , 172.54
1130826.00,1308.00,Sold, NetProfit, 548.00
1130826.00,1314.00,Buy at , 171.71
1130826.00,1314.00,Bought at , 171.71
1130826.00,1321.00,Sold, NetProfit, 521.00
1130826.00,1322.00,Buy at , 170.49
1130826.00,1323.00,Bought at , 170.49
1130826.00,1327.00,Sold, NetProfit, 494.00
1130826.00,1335.00,Buy at , 168.58
1130826.00,1335.00,Bought at , 168.58
1130826.00,1338.00,Sold, NetProfit, 567.00
1130826.00,1341.00,Buy at , 167.81
1130826.00,1341.00,Bought at , 167.81
1130826.00,1343.00,Sold, NetProfit, 540.00
1130826.00,1402.00,Buy at , 168.00
1130826.00,1402.00,Bought at , 168.00
1130826.00,1402.00,Sold, NetProfit, 513.00
1130826.00,1402.00,Buy at , 167.78
1130826.00,1403.00,Bought at , 167.76
1130826.00,1403.00,Sold, NetProfit, 486.00
1130826.00,1415.00,Buy at , 168.00
1130826.00,1415.00,Bought at , 168.00
1130826.00,1418.00,Sold, NetProfit, 459.00
1130826.00,1440.00,Buy at , 164.77
1130826.00,1440.00,Bought at , 164.75
1130826.00,1444.00,Sold, NetProfit, 532.00
1130826.00,1444.00,Buy at , 164.26
1130826.00,1444.00,Bought at , 164.26
1130826.00,1446.00,Sold, NetProfit, 505.00
1130826.00,1449.00,Buy at , 163.96
1130826.00,1449.00,Bought at , 163.96
1130826.00,1450.00,Sold, NetProfit, 578.00
1130826.00,1452.00,Buy at , 163.44
1130826.00,1452.00,Bought at , 163.44
1130826.00,1452.00,Sold, NetProfit, 551.00
1130826.00,1456.00,Buy at , 162.97
1130826.00,1456.00,Bought at , 162.86
1130826.00,1456.00,Sold, NetProfit, 624.00
